NCTId,Title,Condition,Eligibility,Status
NCT04666727,Role of Diet on the Microbiome of the Digestive System,Colorectal Carcinoma,"Inclusion Criteria:

* GROUP I: Patients presenting for a screening colonoscopy

  * GROUP I: Age of 45 and above
  * GROUP I: Strict vegetarian diet, determined by using diet history questionnaire 3.0 National Institutes of Health (NIH)
  * GROUP I: Non smoker
  * GROUP I: Ability to understand and willingness to sign an informed consent form, complete web based dietary assessment and provide stool, colonic mucosa and blood samples
  * GROUP II: Patients presenting for a screening colonoscopy
  * GROUP II: Age of 45 and above
  * GROUP II: Omnivorous diet
  * GROUP II: Non smoker
  * GROUP II: Ability to understand and willingness to sign an informed consent form, complete web based dietary assessment and provide stool, colonic mucosa and blood sample

Exclusion Criteria:

* • Current smokers (nicotine abuse only)

  * Positive family history of colon cancer or colon cancer related syndromes
  * Recent use of antibiotics in 1 month
  * History of inflammatory bowel disease, and/or radiation enteritis or colitis
  * Pregnant and breastfeeding women
  * Women of child-bearing potential who have positive urine or serum pregnancy test
  * Heavy drinker (defined as more than 14 drinks per week)
  * Currently using anti-flatulence medications, probiotics and/or fiber supplements
  * Major dietary restrictions and/or following a special diet
  * Patient with positive fecal test/symptoms",RECRUITING
NCT04820127,Personalized Management of Psycho-behavioral Symptoms in Alzheimer's Disease: Impact on Health Resources Use,Alzheimer's Disease,"Inclusion Criteria:

For the patient :

* Diagnosed with major neuro-cognitive disorders (DSM V) at all severity stages.
* Leaving at home
* Assisted by a caregiver, from patient's family or personal environment, assuming most of patient care (spending at least 6 hours per week with the patient)
* caregiver available to come with the patient to study visits as planned per protocol
* existing agitation since at least one month (according to International Psychogeriatric Association (IPA) criteria)
* agitation severity ≥ 2 , based on Clinician Global Impression of Severity (CGI-S) (at least mild severity)
* the patient, his/her family member/trusted person , or his /her legal responsible has provided written informed consent to participate in the study
* referring physician's oral approval obtained for patient participation in the study
* Affiliated to French Healthcare System

For the caregiver:

* Has provided his/her written informed consent to participate in the study
* Ability to understand and speak French properly, ability to complete the questionnaires and assess the patient.
* Affiliated to French Healthcare System

Exclusion Criteria:

For the patient:

* Agitation symptoms attributable either to other concomitant prescriptions, or to other psychiatric or evolving somatic diseases.
* Patient living in a residential care facility or having an institutionalization project within 6 months
* Patient with clinically significant or unstable disease that could affect he/her ability to come for the study visit or complete the evaluations planned as per protocol
* Concomitant participation to any other interventional research study
* Patient under legal protection.

For the caregiver:

* Caregiver under legal protection.
* Limited internet access or caregiver feeling unable to use it",RECRUITING
NCT06579027,A Novel Program Using Ride-on Toys to Improve Upper Extremity Function in Children With Hemiplegia,"Hemiplegia, Cerebral Palsy, Children, Only","Inclusion Criteria:

* Boys and girls between the ages of 3 - 8 years
* Diagnosed with hemiplegia by a medical doctor with clear asymmetry in upper extremity strength and control (i.e., one upper limb is clearly weaker than the other)
* Can maintain a supported sitting position for at least 15 minutes

Exclusion Criteria:

* Only lower limb involvement
* Recent history (within past 6 months) of trauma or surgery or Botox
* Uncorrected blindness/profound visual impairment
* Fixed deformities at wrist or hand
* No active control in affected UE
* Inability to follow 2-step directions
* Weight \> 150 lbs.",RECRUITING
NCT04216927,NO During CPB in Neonates to Reduce Risk of AKI,"AKI, CHD - Congenital Heart Disease, Surgery","Inclusion Criteria:

* All neonates (≤31 days) undergoing cardiac surgery with CPB for CHD will be deemed eligible for enrollment.

Exclusion Criteria:

1. Failure to obtain informed consent from parent/guardian
2. Clinical signs of preoperative persistent elevated pulmonary vascular resistance,
3. Emergency surgery,
4. Episode of cardiac arrest within 1 week before surgery,
5. Recent treatment with steroids and/or a condition that may require treatment with steroids (excluding steroid administration specifically for CPB),
6. Use of inhaled NO (iNO) immediately prior to surgery,
7. Structural renal abnormalities by ultrasound,
8. Preoperative AKI,
9. Use of other investigational drugs,
10. Weight less than \<2 kg,
11. Gestational age \<36 weeks,
12. Major extracardiac congenital anomalies,
13. Non-English speakers.",RECRUITING
NCT04253327,"Distress, Anxiety and Psychosexual Health in BOT",Ovarian Neoplasm Epithelial Borderline,"Inclusion Criteria:

* Diagnosis and surgery for benign or borderline ovarian tumors.
* \>18 y.

Exclusion Criteria:

* Known former psychological morbidity evaluated by the investigators.
* History of another cancer type.",RECRUITING
NCT05398627,Neurofeedback for Borderline Personality Disorder,Borderline Personality Disorder,"Inclusion Criteria:

* right-handed adults (ages 18 - 55) with a primary diagnosis of Borderline Personality Disorder according to diagnostic criteria in the Structured Interview for DSM Personality Disorders
* must be able to give written informed consent prior to participation
* unmedicated or stable on an SSRI antidepressant regime (at least 3 weeks to ensure symptoms are stable)
* English speaking

Exclusion Criteria:

* have a clinically significant or unstable cardiovascular, pulmonary, endocrine, neurological, gastrointestinal illness or unstable medical disorder
* Current moderate or severe DSM-V alcohol or substance use disorder, with the exception of nicotine or caffeine. Clinician will access subjects' alcohol and substance use on a case-by-case to determine whether specific cases of mild alcohol or substance use would also interfere with the effects of the intervention.
* have a history of traumatic brain injury
* are unable to complete MRI scan due to claustrophobia or general MRI exclusions (e.g., shrapnel inside body)
* are currently pregnant or breast feeding
* are unable to complete questionnaires written in English
* current (within 3 weeks of testing) use of any antipsychotics, benzodiazepines, beta-blockers, or other medications (except SSRI antidepressants) likely to influence cerebral blood flow. Effective medications will not be discontinued for the purposes of the study. Inclusion of patients on stable antidepressant medications was decided in order to allow generalization towards a real world population
* have a DSM-5 diagnosis of psychotic or organic mental disorder
* have any eye problems or difficulties in corrected vision.
* Serious suidicial ideation",RECRUITING
NCT06027827,Impact of Lateral Bone Grafting With Intraoperative Fusion in ACDF on Clinical Outcomes,Cervical Spondylosis,"Inclusion Criteria:

* Age between 18-60 years old; patients with cervical spondylosis who were about to undergo 1-2 segment ACDF surgery; agreement with the surgical plan and willingness to undergo long-term clinical follow-up; and signing of an informed consent form.

Exclusion Criteria:

* Drug or alcohol abusers; those with abnormal liver or kidney function unsuitable for surgery; those with cardiac insufficiency unsuitable for surgery; those with severe metabolic and endocrine diseases unsuitable for surgery; those with severe lung disorders such as asthma and abnormal lung function unsuitable for surgery; pregnant and breastfeeding women as well as those who are planning to become pregnant in the near future; those who have participated in other clinical trials within 3 months; and those who are not suitable for participation in the experiment in the opinion of the investigator.",RECRUITING
NCT02665676,Embryonal Tumors of Infancy & Childhood: South Egypt Cancer Institute Experience,"Neoplasms, Embryonal, Embryonal Neoplasms","Inclusion Criteria:

* Patients whose age less than or equal to 18 years.
* Patients diagnosed with any of embryonal neoplasms.

Exclusion Criteria:

• Patients whose age more than 18 years.",RECRUITING
NCT06525376,Validity and Reliability of Smartphone Inclinometer Application for Measurement of Cervical Range of Motion,Joint Function Disorder,"Inclusion Criteria:

* Adults aged 18 to 33 years.
* Both genders.
* Subjects that are cooperative to follow my instructions

Exclusion Criteria:

* Subjects with severe spinal pathology.
* Pregnancy and lactation.
* Any musculoskeletal diseases that affect the cervical spine.
* Any neurological diseases that affect the cervical spine.
* History of trauma in the cervical spine.
* Signs of cervical radiculopathy.
* Signs of cervical myelopathy.
* Signs of serious pathology.
* subjects have a pacemaker or any other medical equipment that the magnet might have compromised.",RECRUITING
NCT05666076,Peng Block or Suprascapular Nerve Block for Postoperative Analgesia in Shoulder Artroscopy ?,"Orthopedic Disorder, Shoulder Pain, Surgery, Analgesia","Inclusion Criteria:

* Patients who will have shoulder arthroscopy surgery under general anesthesia
* Ages of 18-75
* ASA I-III

Exclusion Criteria:

* Patients with deformity and pathology in the shoulder region
* Patients with known local anesthetic allergy
* Patients with BMI\>35
* Patients with alcohol and substance addiction
* Patients with opioid addiction
* Patients who cannot perceive and evaluate pain, such as psychiatric illness, mental retardation",RECRUITING
NCT06507527,Frailty in Outpatient Digestive Endoscopy,"Frailty, Comorbidities and Coexisting Conditions, Complication","Inclusion Criteria:

* It will include all patients over 70 years of age who are indicated to undergo an ambulatory upper or lower endoscopy.

Exclusion Criteria:

* Age below 70 years
* Non-ambulatory endoscopies
* Assessment of test contraindications by the endoscopist
* Non-acceptance to enter the study",RECRUITING
NCT04808427,Pilot Study to Investigate Magnetic Resonance (MR) Image Guided Focal Therapy in Prostate Cancer,Prostate Cancer,"* INCLUSION CRITERIA:

Subjects must have prostate cancer amenable for ultrasound ablation defined as:

* diagnosed by transrectal ultrasound-guided prostate biopsy via standard 12 core biopsy and targeted biopsy of any MRI-visible or tracked lesions; pathological diagnosis must be confirmed by Laboratory of Pathology, NCI;
* Gleason Score \<= 7;
* MRI-visible or MRI-tracked prostate cancer. This includes prostate cancer found on targeted biopsy of MRI-visible or MRI-tracked lesion. Histologically positive standard biopsy cores of Grade Group \>= 2 prostate cancer must be from an area overlying or within 1cm of an MRI-visible or tracked lesion(s) and reviewed by NCI urologic pathologist. (Left / Right, Base, Mid-Gland, Apex). Systematic and targeted cores of Grade Group 1 prostate cancer outside of proposed ablation zone do not affect inclusion status, as these can be observed by conventional guideline management.
* organ confined clinical T1c or clinical T2a prostate cancer that is visualized on MRI. Note: Participants after prostate cancer treatment with local recurrence or residual tumor which is visible on MRI are eligible.
* PSA \< 20 ng/ml or PSA \>20 with a PSA density \<0.15.
* Adults (\>= 18 years of age)
* Participants must have adequate organ and marrow function as defined below:

Platelets \>= 50,000/mcL

Hemoglobin \>= 8 g/dL

Measured or calculated creatinine clearance (CrCl) (eGFR may also be used in place of CrCl)\* \>= 30 mL/min/1.73 m\^2

GFR=glomerular filtration rate; ULN=upper limit of normal.

\*Creatinine clearance (CrCl) or eGFR should be calculated per institutional standard.

* Subjects must be able to understand and willing to sign a written informed consent document.
* Subjects must be co-enrolled to NCI protocol 16-C-0010 ""Care of the Prostate Cancer Patient and Prospective Procurement of Prostate Cancer Tissue.""

EXCLUSION CRITERIA:

* Targeted lesion ablation length from apex to base of \>5 cm or lesion extending \>3 cm from the urethra.
* Target ablation volume greater than 100 ml.
* Presence of calcifications that would impede ultrasound transmission between the urethra and ablative target.
* Participants are unable to tolerate MRI (foreign body, i.e., pacemaker or other implanted device; claustrophobia; inability to tolerate rectal coil; etc.)
* Acute urinary tract infection
* Lower urinary tract symptoms defined by an IPSS \> 20
* Participants with uncontrolled coagulopathies (including liver dysfunction, or untreated hereditary coagulopathies which have a standard of care treatment) per surgeon discretion based on bleeding risk.
* Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situation (within time frame) that would limit compliance with study requirements.",RECRUITING
NCT06001827,SAVE-FistulaS: the SelfWrap-Assisted ArterioVEnous Fistulas Study,"Chronic Kidney Diseases, End Stage Renal Disease, Arteriovenous Fistula, Hemodialysis Access Failure, ESRD, Vascular Access Complication, Renal Failure, Catheter Complications, Catheter Dysfunction, Renal Insufficiency","Inclusion Criteria:

* Age of at least 18 years
* Referred for creation of a new AVF
* Willing and able to comply with study requirements, communicate with the study team, and attend follow up visits over a period of 36 months

Exclusion Criteria:

* Planned index procedure to revise or repair an existing fistula
* Target artery inner diameter \< 2.0 mm, as measured by ultrasound while the target arm is under tourniquet pressure and anesthesia
* Target vein inner diameter \< 2.0 mm, as measured by ultrasound while the target arm is under tourniquet pressure and anesthesia
* Significant (at least 50%) stenosis at the target vein on the side of surgery (between the planned anastomosis site and the axillary vein), as diagnosed by preoperative ultrasound
* Known central venous stenosis of at least 50% on the side of surgery
* Presence of a stent or a stent graft within the access circuit
* Known or suspected coagulation disorder that, in the opinion of the Investigator, puts too much risk on the patient for AVF creation
* Known or suspected active infection at the time of surgery
* Congestive heart failure NYHA class 4
* Prior steal on the side of surgery;
* Enrolled in another investigational drug, device, or biological study, or was previously enrolled in this study
* Life expectancy less than 12 months
* Expected to undergo kidney transplant surgery within 6 months of enrollment
* Expected to undergo home hemodialysis
* Females of childbearing potential (premenopausal and not surgically sterile) without documented current negative pregnancy test at screening
* Presence of a comorbid condition that, in the opinion of the Investigator, may significantly confound the collection of safety and efficacy data in this study
* Unwillingness or inability to give consent and/or comply with the study follow up schedule
* Any health condition, which in the opinion of the Investigator, would interfere with the safety of the participant or the participant's ability to comply with the study.",RECRUITING
NCT06191627,Patient Experience and Quality of Patch Testing on the Legs vs Back,Allergic Contact Dermatitis,"Inclusion Criteria:

* Age 18 or older
* Undergoing patch testing at Park Nicollet Contact Dermatitis
* At least 90 patches applied at one time, representing comprehensive testing rather than limited testing with few patches that may skew results
* Both back and thighs adequate for patch testing (see exclusion criteria below)

Exclusion Criteria:

* Patient is 17 or younger
* Patient is pregnant or breastfeeding
* Specialized patch testing with low number of patches (less than 90)
* Rash that would preclude testing on thighs or back
* Large tattoos that would preclude testing on thighs or back
* Limited space on thighs or back due to body habitus
* Patient has specific needs necessitating use of the thighs or back (event, breastfeeding, etc.)",RECRUITING
NCT05890027,Phenylephrine Versus Eyelid Taping for Muller's Muscle-Conjunctival Resection (MMCR) Evaluation,"Ptosis, Eyelid","Inclusion Criteria:

* Individuals diagnosed with ptosis undergoing conjunctival Muller's muscle resection evaluation.
* Individuals who can tolerate and have no hypersensitivity to phenylephrine 2.5% ophthalmic solution.
* Individuals who can tolerate eye-drop medications.
* Individuals who are physically able to take a tangent screen visual field test.
* Age: Adults who can comprehend the instructions and procedures (18-90 years old).

Exclusion Criteria:

- This study will not incorporate any of the following at-risk populations: adults unable to consent, individuals who are not yet adults, pregnant women, prisoners.

* This study will not include participants who refuse to consent.
* This study will not include participants who are too tired or unable to take a tangent screen visual field test (see Risk to Subjects).
* This study will not include individuals who may not be able to tolerate phenylephrine 2.5% ophthalmic solution.
* Specifically, those with a past medical history of bradycardia, hypotension, autonomic dysfunction, or severe cardiovascular disease
* This study will not include individuals who consume drugs contraindicated in phenylephrine use: Ergot Derivatives (Vasoconstrictive CYP3A4 Substrates), Iobenguane Radiopharmaceutical Products, Kratom, Lisuride, Monoamine Oxidase Inhibitors",RECRUITING
NCT05731427,Research on the Mechanism Affecting Progression of Bronchiectasis,Bronchiectasis,"Inclusion criteria:

* 18 years or older
* Bronchiectasis confirmed by high-resolution computed tomographic scan(HRCT)
* Chronic expectoration with ability to provide a sputum sample at the study visit
* Provision of written informed consent

Exclusion criteria:

* Traction bronchiectasis
* Lack of important clinical information",RECRUITING
NCT05626127,MRI-based Clinico-radiomics Predicting Lymph Node Metastasis Status of Hilar Cholangiocarcinoma,Hilar Cholangiocarcinoma,"Inclusion Criteria:

1. The patient must sign an informed consent form;
2. Age 18-75 years old, both male and female;
3. ECOG performance status score (PS score) 0-2;
4. Hilar cholangiocarcinoma with resectable tumor lesions;
5. Complete the upper abdomen MRI examination before treatment;

Exclusion Criteria:

1. Accompanied with other primary malignant tumors;
2. Patients who have neoadjuvant chemotherapy or other tumor-targeted therapies;
3. Incomplete imaging or medical history data.",RECRUITING
NCT05780827,Analysis of Clinical Data of Patients With Temporomandibular Joint Disorder,Temporomandibular Joint Dysfunction Syndrome,"Experimental group

Inclusion Criteria:

No symptoms and signs of oral and maxillofacial dysfunction.

Exclusion Criteria:

1. Those who have received orthodontic treatment
2. Have a history of maxillofacial trauma
3. Maternity
4. Those who take any medicine for a long time
5. Patients with chronic diseases such as tumors, endocrine diseases, psychosocial diseases and immune diseases.
6. Other persons who are unable to cooperate with the project by themselves, such as action barriers.

Control group

Inclusion Criteria:

Suffer from symptoms and signs of oral and maxillofacial dysfunction

Exclusion Criteria:

1. Those who have received orthodontics or other treatment
2. Have a history of maxillofacial trauma
3. Maternity
4. Those who take any medicine for a long time
5. Patients with chronic diseases such as tumors, endocrine diseases, psychosocial diseases and immune diseases.
6. Other persons who are unable to cooperate with the project by themselves, such as action barriers.",RECRUITING
NCT03947827,Minocycline as Adjunctive Treatment for Treatment Resistant Depression,Treatment Resistant Depression,"Inclusion Criteria:

1. Outpatients
2. Voluntary and competent to consent to treatment
3. DSM-5 diagnosis of non-psychotic MDD, single or recurrent, based on the SCID-5
4. Male or female aged between 18-80
5. Total score \> 3 on ATHF
6. Baseline HRSD-17 score \> 14
7. Able to adhere to study schedule
8. If female of childbearing potential, currently on a medically acceptable form of birth control (oral contraceptives, contraceptive injections, IUD, contraceptive patch, male partner sterilization, abstinence, or barrier methods plus spermicide)
9. Currently taking one of the following standard antidepressants: Escitalopram, Citalopram, Sertraline, Venlafaxine, Duloxetine, Mirtazapine or Bupropion
10. Been on same dose of all psychotropic medications for \> 4 weeks prior to enrolment

Exclusion Criteria:

1. DSM-5 substance use disorder within past 3 months, moderate or severe, based on SCID-5
2. Concomitant major unstable medical illness
3. Pregnancy or intent to become pregnant during study period
4. DSM-5 diagnosis of psychotic disorder, bipolar disorder, obsessive-compulsive disorder (OCD), post-traumatic stress disorder (PTSD) within last year
5. DSM-5 diagnosis of borderline personality disorder (BPD)
6. Possible or probable dementia
7. Prior or current intolerance or contraindication to tetracyclines
8. Abnormal readings in hematology, liver, or renal function tests
9. Have Myasthenia Gravis
10. Concomitant treatment with anticoagulants, diuretics, retinoids, ergot alkaloids, antacids containing aluminium/calcium/magnesium, bismuth and zinc salts, or quinapril",RECRUITING
